Date,Species,GroupSize,TransectID,Year
2018-02-13,Giraffe,1,Rekero bushlands,2018
2018-02-13,Giraffe,3,Rekero bushlands,2018
2018-02-13,Giraffe,3,Rekero bushlands,2018
2018-03-06,Giraffe,1,Rekero bushlands,2018
2018-03-06,Giraffe,2,Rekero bushlands,2018
2018-03-06,Giraffe,3,Rekero bushlands,2018
2018-04-03,Giraffe,3,Rekero bushlands,2018
2018-06-19,Giraffe,5,Rekero bushlands,2018
2018-06-19,Giraffe,1,Rekero bushlands,2018
2018-11-06,Giraffe,2,Rekero bushlands,2018
2018-12-04,Giraffe,2,Rekero bushlands,2018
2018-01-11,Giraffe,3,Enoolera plains,2018
2018-01-11,Giraffe,1,Enoolera plains,2018
2018-04-05,Giraffe,8,Rekero plains,2018
2018-05-03,Giraffe,7,Rekero plains,2018
2018-09-06,Giraffe,2,Rekero plains,2018
2018-03-01,Giraffe,3,Payia plains,2018
2018-11-01,Giraffe,6,Payia plains,2018
2017-10-17,Grant's gazelle,2,Olare Sampu bushlands,2017
2017-10-17,Grant's gazelle,3,Olare Sampu bushlands,2017
2017-11-07,Grant's gazelle,6,Olare Sampu bushlands,2017
2017-11-07,Grant's gazelle,11,Olare Sampu bushlands,2017
2017-11-07,Grant's gazelle,1,Olare Sampu bushlands,2017
2017-12-05,Grant's gazelle,1,Olare Sampu bushlands,2017
2017-12-05,Grant's gazelle,2,Olare Sampu bushlands,2017
2017-12-05,Grant's gazelle,7,Olare Sampu bushlands,2017
2017-12-05,Grant's gazelle,4,Olare Sampu bushlands,2017
2017-12-05,Grant's gazelle,2,Olare Sampu bushlands,2017
2017-12-05,Grant's gazelle,8,Olare Sampu bushlands,2017
2017-12-05,Grant's gazelle,6,Olare Sampu bushlands,2017
2018-01-09,Grant's gazelle,6,Olare Sampu bushlands,2018
2018-01-16,Grant's gazelle,1,Olare Sampu bushlands,2018
2018-03-06,Grant's gazelle,4,Olare Sampu bushlands,2018
2018-04-03,Grant's gazelle,3,Olare Sampu bushlands,2018
2018-05-08,Grant's gazelle,2,Olare Sampu bushlands,2018
2018-07-01,Grant's gazelle,3,Olare Sampu bushlands,2018
2018-08-02,Grant's gazelle,2,Olare Sampu bushlands,2018
2018-09-04,Grant's gazelle,4,Olare Sampu bushlands,2018
2018-10-02,Grant's gazelle,3,Olare Sampu bushlands,2018
2018-12-04,Grant's gazelle,7,Olare Sampu bushlands,2018
2017-10-17,Grant's gazelle,1,Sampu Enkare bushlands,2017
2017-10-17,Grant's gazelle,8,Sampu Enkare bushlands,2017
2017-12-05,Grant's gazelle,1,Sampu Enkare bushlands,2017
2017-12-05,Grant's gazelle,1,Sampu Enkare bushlands,2017
2018-01-16,Grant's gazelle,1,Sampu Enkare bushlands,2018
2018-03-06,Grant's gazelle,4,Sampu Enkare bushlands,2018
